Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
"""Pret A Manger US""","""Falafel & Red Peppers Hot Wrap""","""1 wrap ( 226 g )""",690,261,29,7,,,1470,84,0,8,24,,,,
"""Pret A Manger US""","""Falafel & Turmeric Cauliflower Balance Box""","""1 serving ( 400 g )""",590,216,24,3,,,1000,77,11,15,20,,,,
"""Pret A Manger US""","""Flat White""","""1 serving ( 192 g )""",70,0,0,0,,,90,9,0,9,6,,,,
"""Pret A Manger US""","""Ginger Shot""","""1 serving ( 110 g )""",70,0,0.5,0,,,10,15,2,9,2,,,,
"""Pret A Manger US""","""Green Chicken Pozole, Regular""","""1 serving ( 443 g )""",240,63,7,0,,,1280,27,7,11,16,,,,
"""Pret A Manger US""","""Green Chicken Pozole, Small""","""1 serving ( 260 g )""",140,36,4,0,,,750,16,4,6,10,,,,
"""Pret A Manger US""","""Green Goddess Turkey & Avocado Wrap""","""1 wrap ( 234 g )""",450,207,23,3,,,870,44,9,4,22,,,,
"""Pret A Manger US""","""Green Good Stuff""","""1 serving ( 400 g )""",180,0,0,0,,,190,38,0,33,4,,,,
"""Pret A Manger US""","""Ham & Spinach Power Omelet""","""1 serving ( 289 g )""",380,225,25,10,,,720,8,1,4,32,,,,
"""Pret A Manger US""","""Ham, Cheese & Tomato Croissant""","""1 sandwich ( 117 g )""",400,234,26,15,,,970,19,2,4,21,,,,
"""Pret A Manger US""","""Harvest Cookie""","""1 cookie ( 71 g )""",280,108,12,6,,,180,40,3,20,5,,,,
"""Pret A Manger US""","""Hazelnut Latte""","""12 oz ( 340 g )""",150,0,0,0,,,160,25,0,23,10,,,,
"""Pret A Manger US""","""Hot Chocolate""","""1 serving ( 340 g )""",230,0,0,0,,,290,44,2,39,14,,,,
"""Pret A Manger US""","""Iced Almond Matcha Latte""","""1 serving ( 470 g )""",110,63,7,0,,,270,11,2,8,3,,,,
"""Pret A Manger US""","""Iced Americano""","""1 serving ( 450 g )""",5,0,0,0,,,0,0,0,0,0,,,,
"""Pret A Manger US""","""Iced Latte""","""1 serving ( 450 g )""",100,0,0,0,,,115,12,0,11,7,,,,
"""Pret A Manger US""","""Jalapeno Chips""","""1 serving ( 28 g )""",140,63,7,0.5,,,125,17,1,0,2,,,,
"""Pret A Manger US""","""Kale Chicken Caesar Salad""","""1 salad ( 281 g )""",280,90,10,4.5,,,890,11,3,1,35,,,,
"""Pret A Manger US""","""Latte""","""12 oz ( 340 g )""",100,0,0,0,,,160,17,0,15,10,,,,
"""Pret A Manger US""","""Lemon Shallot Vinaigrette""","""1 serving ( 28 g )""",100,90,10,1,,,190,2,0,2,0,,,,
"""Pret A Manger US""","""Lemonade""","""400 g ( 400 g )""",220,0,0,0,,,0,58,0,54,0,,,,
"""Pret A Manger US""","""Lemony Goodness Pot""","""1 pot ( 153 g )""",270,135,15,7,,,125,22,0,20,12,,,,
"""Pret A Manger US""","""Light Roast Brewed Coffee""","""12 oz ( 340 g )""",5,0,0,0,,,0,0,0,0,0,,,,
"""Pret A Manger US""","""Little Cup Of Goodness""","""1 cup ( 160 g )""",240,81,9,3.5,,,85,31,3,18,13,,,,
"""Pret A Manger US""","""Macchiato""","""4 oz ( 113 g )""",5,0,0,0,,,5,1,0,1,0,,,,
"""Pret A Manger US""","""Mango Orange Juice""","""1 serving ( 250 g )""",120,0,0,0,,,0,28,1,22,2,,,,
"""Pret A Manger US""","""Mediterranean Mezze Salad""","""1 salad ( 360 g )""",480,180,20,2.5,,,1050,61,16,13,18,,,,
"""Pret A Manger US""","""Mediterranean Tuna Wrap""","""1 wrap ( 220 g )""",500,297,33,6,,,780,32,1,0,22,,,,
"""Pret A Manger US""","""Milk Chocolate With Orange & Cardamom""","""1 serving ( 25 g )""",130,72,8,5,,,20,13,6,12,2,,,,
"""Pret A Manger US""","""Miso Soup""","""1 serving ( 340 g )""",50,9,1.5,0,,,1380,6,1,5,4,,,,
"""Pret A Manger US""","""Mocha""","""12 oz ( 340 g )""",160,0,0,0,,,220,30,1,27,12,,,,
"""Pret A Manger US""","""Moroccan Chicken Quinoa Rice Pot""","""1 serving ( 344 g )""",360,117,13,2,,,1330,51,1,12,16,,,,
"""Pret A Manger US""","""Moroccan Lentil Soup, Regular""","""1 serving ( 341 g )""",380,153,17,2.5,,,930,45,15,7,16,,,,
